,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
21,2019 Volkswagen Golf R 2.0T w/DCC & Navigation,36966,25274, All-wheel Drive ,21–29,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,22201,0,1
22,2019 Mercedes-Benz CLA 250 Base 4MATIC,29298,13840, All-wheel Drive ,24–32,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,32809,1,1
23,2018 Chevrolet Equinox 1LT,22999,40880, Front-wheel Drive ,26–32,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,78758,1,1
24,2017 Nissan Rogue SL,28995,15342, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,54304,3,3
25,2019 Honda Civic LX,25299,22370, Front-wheel Drive ,31–40,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19342,1,1
26,2019 Ford F-150 Lariat,42500,35678, Four-wheel Drive ,19–24,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,66048,0,1
27,2022 Toyota Highlander Hybrid XLE Bronze,54795,10122, All-wheel Drive ,35–35,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,22485,1,1
28,2020 Lamborghini Urus Base,299996,19462, All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,28203,0,0
29,2018 Jeep Grand Cherokee Limited,30698,67583, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,21030,3,3
30,2012 Chevrolet Camaro ZL1,43933,24631, Rear-wheel Drive ,None,Gasoline ,6-Speed Manual,6.2L V8 16V MPFI OHV Supercharged,44720,0,0
31,2017 Ford F-150 XLT,28995,81903, Four-wheel Drive ,17–23,Gasoline ,Automatic,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,19901,3,3
32,2020 Mercedes-Benz AMG GT Base,114900,23631, Rear-wheel Drive ,16–22,Gasoline ,7-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo,92660,1,1
33,2014 Jeep Grand Cherokee Limited,16000,144420, Four-wheel Drive ,17–24,E85 Flex Fuel ,8-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,28054,0,1
34,2020 Ford F-150 Lariat,43943,24605, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,60142,0,0
35,2019 BMW X3 xDrive30i,37975,34797, All-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,02360,0,0
36,2018 Mercedes-Benz C-Class C 300 4MATIC,32500,20109, All-wheel Drive ,23–32,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,60048,1,1
37,2018 Dodge Durango GT,31250,38276, All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,10466,1,1
38,2017 BMW 330 i,28998,42437, Rear-wheel Drive ,23–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,33613,3,3
39,2019 Cadillac XT5 Luxury,34990,31543, All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,44720,0,1
40,2017 Chevrolet Suburban LT,36150,91100, Four-wheel Drive ,15–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,20904,0,0
41,2021 Honda Accord Sport SE,33998,27101, Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,34957,3,3
42,2017 Honda Accord EX-L V-6,19500,130006, Front-wheel Drive ,21–32,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI SOHC,22406,1,0
43,2018 Jeep Wrangler Unlimited Rubicon,48492,19068, Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,85716,3,3
44,2019 Lincoln MKC Black Label,36488,25383, All-wheel Drive ,19–25,Gasoline ,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,32808,0,1
45,2018 Mercedes-Benz GLE 350 Base,36998,41990, Rear-wheel Drive ,18–23,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,77034,3,3
46,2019 Honda CR-V LX,22485,69846, All-wheel Drive ,25–31,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC,21074,1,0
47,2021 Toyota RAV4 Hybrid XLE,38288,21851, All-wheel Drive ,41–38,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,20855,0,1
48,2021 Hyundai Elantra SEL,23212,46179, Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,65202,1,0
49,2016 Ford Explorer XLT,22360,63789, Four-wheel Drive ,16–23,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,60031,0,0
50,2013 Lexus GS 350 Base,20585,87767, Rear-wheel Drive ,19–28,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC,44060,0,1
51,2019 BMW 440 Gran Coupe i xDrive,39888,22251, All-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,07470,3,3
52,2020 Toyota Highlander XLE,34354,50080, Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,32822,3,3
53,2020 Acura RDX Technology Package,35491,61843, All-wheel Drive ,21–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,44135,1,1
54,2019 Acura MDX 3.5L w/Technology Package,39302,34216, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,02090,0,1
55,2018 Toyota RAV4 XLE,24231,35337, All-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,11542,3,3
56,2020 Acura ILX ,27998,55927, Front-wheel Drive ,24–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,04106,3,3
57,2019 Nissan Armada SL,32587,60076, Rear-wheel Drive ,14–19,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,98057,1,0
58,2019 Ford F-150 Lariat,47850,42334, 4WD ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,53092,0,1
59,2014 Jeep Wrangler Unlimited Sport,23165,131562, Four-wheel Drive ,16–21,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC,66046,3,3
60,2020 Chevrolet Blazer 2LT,34377,46802, All-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC,98221,0,0
61,2019 Jeep Grand Cherokee Limited,33828,28274, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,03801,3,3
62,2018 Toyota RAV4 LE,25987,33787, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,27713,0,0
63,2022 Hyundai Kona N Base,34981,890, Front-wheel Drive ,None,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo,32904,1,1
64,2019 RAM 1500 Laramie,39495,32647, Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,45459,1,1
65,2020 RAM 1500 Laramie,49401,21132, Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,37130,3,3
66,2019 Mazda CX-5 Grand Touring,29543,33209, All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,60074,1,1
67,2021 Chevrolet Silverado 1500 LTZ,53887,16451, Four-wheel Drive ,22–29,Diesel ,10-SPEED A/T,Straight 6 Cylinder Engine,45822,3,3
68,2015 INFINITI QX80 Base,29450,83055, Four-wheel Drive ,14–20,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,60025,1,1
69,2019 Subaru Outback 2.5i Limited,33998,13011, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,91502,3,3
70,2019 Ford Mustang GT Premium,35998,60967, Rear-wheel Drive ,15–24,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,75041,3,3
71,2018 Alfa Romeo Stelvio Quadrifoglio,59895,20925, All-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,2.9L V6 24V GDI DOHC Twin Turbo,32817,0,1
72,2020 Ford F-150 Lariat,56988,22363, Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,80514,3,3
73,2019 Honda Pilot EX-L,36590,20121, All-wheel Drive ,18–26,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC,48084,1,1
74,2018 Buick Encore Sport Touring,22144,41613, Front-wheel Drive ,25–33,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,98037,3,3
75,2019 Mercedes-Benz S-Class S 560 4MATIC,57495,50578, All-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,11021,1,1
76,2018 Nissan Rogue SV,22000,44756, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,22182,0,0
77,2020 Mazda CX-5 Touring,24900,47020, All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,76017,1,0
78,2018 BMW 530 i xDrive,37905,34073, All-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,07201,1,1
79,2008 Chevrolet Tahoe LT,22990,49956, Rear-wheel Drive ,14–15,E85 Flex Fuel ,Automatic,8 Cylinder Engine,22408,0,1
80,2020 Ford Expedition Limited,46980,70476, Four-wheel Drive ,17–22,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,60510,1,0
81,2021 Toyota Supra 3.0,56835,18849, Rear-wheel Drive ,22–30,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,77034,0,1
82,2021 Jeep Grand Cherokee Laredo,35963,15215, Rear-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,34475,3,3
83,2008 BMW M3 ,18999,113071, Rear-wheel Drive ,14–20,Gasoline ,7-Speed Automatic with Auto-Shift,4.0L V8 32V MPFI DOHC,92882,3,3
84,2016 Lincoln MKZ Base,21883,39170, Front-wheel Drive ,22–33,Gasoline ,6-Speed Automatic,3.7L V6 24V MPFI DOHC,48161,0,1
85,2011 Honda Pilot EX-L,8490,173922, Four-wheel Drive ,16–22,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI SOHC,33177,3,3
86,2019 Honda Ridgeline RTL-E,41990,15684, All-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC,11735,1,1
87,2021 Kia Sportage LX,22365,14078, All-wheel Drive ,21–25,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC,11701,1,1
88,2022 Toyota 4Runner SR5 Premium,49261,8490, Four-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,75244,0,0
89,2021 Ford Mustang GT Premium,45992,18875, Rear-wheel Drive ,15–24,Gasoline ,6-Speed Manual,5.0L V8 32V PDI DOHC,77478,1,1
90,2014 Volkswagen Jetta SportWagen TDI,18500,42320, Front-wheel Drive ,29–39,Diesel ,6-Speed Automatic with Auto-Shift,2.0L I4 16V DDI DOHC Turbo Diesel,22182,0,1
91,2021 Mitsubishi Outlander Sport 2.0 SE,23897,35100, Four-wheel Drive ,23–29,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,60532,1,0
92,2020 BMW X6 sDrive40i,65982,64730, Rear-wheel Drive ,21–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,30291,3,3
93,2022 Toyota 4Runner SR5 Premium,45868,18749, Rear-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,75080,1,1
94,2021 Hyundai Santa Fe SEL,30715,25983, Front-wheel Drive ,25–28,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,32837,1,1
95,2018 GMC Sierra 1500 SLT,39992,40220, Rear-wheel Drive ,16–23,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV,77065,1,1
96,2020 Dodge Charger Scat Pack,47498,15847, Rear-wheel Drive ,15–24,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV,33126,0,1
97,2021 Chevrolet Traverse LT Cloth,31512,62017, Front-wheel Drive ,18–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC,32822,3,3
98,2021 Ford F-150 XLT,61990,1739, Four-wheel Drive ,22,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,35124,0,1
99,2019 Volkswagen Golf Alltrack TSI S,29629,41718, All-wheel Drive ,21–30,Gasoline ,6-Speed Manual,1.8L I4 16V GDI DOHC Turbo,20166,1,1
100,2022 Acura MDX A-Spec,59944,3012, All-wheel Drive ,19–25,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC,20716,3,3
101,2021 GMC Sierra 1500 AT4,58300,24642, Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,60532,1,1
102,2022 Lincoln Navigator Reserve,94691,1220, Rear-wheel Drive ,None,Gasoline ,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,32124,1,1
103,2021 Mercedes-Benz S-Class S 580 4MATIC,114568,10916, All-wheel Drive ,None,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,77027,1,1
104,2019 Nissan Frontier PRO-4X,33500,24714, Four-wheel Drive ,15–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,27203,1,1
105,2018 Ford Expedition Limited,35000,105173, Rear-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,74834,3,3
106,2021 Honda Pilot Special Edition,43653,22276, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,43228,3,3
107,2020 Mercedes-Benz GLS 450 Base 4MATIC,66899,37775, All-wheel Drive ,19–23,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,30341,1,1
108,2013 BMW 328 328i xDrive,10999,95951, All-wheel Drive ,22–33,Gasoline ,Automatic,"2.0-liter BMW TwinPower Turbo inline 4-cylinder, 16-valve 240-hp",44134,3,3
109,2020 Honda Passport EX-L,36997,24954, All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,22191,3,3
110,2019 Ford Mustang GT Premium,39998,14175, Rear-wheel Drive ,15–24,Gasoline ,6-Speed Manual,5.0L V8 32V PDI DOHC,21162,3,3
111,2018 Toyota RAV4 XLE,26700,13005, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,22182,1,1
112,2020 Toyota Tacoma SR5,36991,21455, Rear-wheel Drive ,19–24,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,75070,0,1
113,2018 Ford F-150 Lariat,41968,21033, 4WD ,19–24,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,64701,1,1
114,2020 Hyundai Veloster Turbo Ultimate,26288,37148, Front-wheel Drive ,28–34,Gasoline ,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo,32808,0,1
115,2021 BMW M340 i,54944,29430, Rear-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,30096,1,1
116,2020 Volvo XC90 Inscription,61000,13900, All-wheel Drive ,None,Gasoline ,Automatic,4,19382,0,1
117,2018 Jeep Grand Cherokee Altitude,30000,69695, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,22408,1,1
118,2015 BMW M4 Base,44900,54549, Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,44024,0,0
119,2019 Honda CR-V EX,30500,45081, All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,28056,3,3
120,2014 Mercedes-Benz GL-Class GL 450 4MATIC,22490,87419, All-wheel Drive ,14–19,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,80206,0,1
121,2018 GMC Sierra 1500 SLT,38250,56057, Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,63376,0,1
122,2020 Ford F-150 Lariat,47999,31402, Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,28212,0,1
123,2020 Ford Fusion Titanium,24991,62003, All-wheel Drive ,20–29,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,54401,1,0
124,2018 Ford F-150 XLT,34623,57525, 4WD ,18–23,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,44310,3,3
125,2011 BMW M3 ,29888,85900, Rear-wheel Drive ,14–20,Gasoline ,6-Speed Manual,4.0L V8 32V MPFI DOHC,22031,0,1
126,2016 Jaguar XF 35t Prestige,23971,50752, All-wheel Drive ,20–28,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,98005,0,1
127,2021 Chevrolet Tahoe LT,60491,15478, Rear-wheel Drive ,16–20,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV,33172,1,1
128,2019 Ford Edge ST,39392,17658, All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo,53105,0,0
129,2021 Mercedes-Benz C-Class C 300 4MATIC,43944,3603, All-wheel Drive ,23–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,60712,1,1
130,2019 Mercedes-Benz GLS 450 Base 4MATIC,41999,61608, All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,94596,1,1
131,2020 Mitsubishi Outlander SE,23742,18639, Front-wheel Drive ,25–30,Gasoline ,Automatic CVT,2.4L I4 16V MPFI SOHC,32808,1,1
132,2018 Tesla Model 3 Long Range,44779,55077, Rear-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,20723,1,0
133,2022 Hyundai IONIQ Hybrid SE,29500,3513, Front-wheel Drive ,54–57,Hybrid ,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Hybrid,34471,1,1
134,2018 INFINITI QX60 Base,30587,44294, All-wheel Drive ,19–26,Gasoline ,Automatic CVT,3.5L V6 24V MPFI DOHC,28227,0,0
135,2019 Buick Encore Preferred,21189,23831, Front-wheel Drive ,25–30,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,78717,3,3
136,2018 RAM 2500 Tradesman,54999,57860, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,34787,3,3
137,2017 BMW M3 Base,54157,46239, Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,60467,3,3
138,2019 Porsche Cayenne Base,59995,49433, All-wheel Drive ,19–23,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,75093,3,3
139,2010 Acura MDX 3.7L Technology,14985,103303, All-wheel Drive ,16–21,Gasoline ,6-Speed Automatic,3.7L V6 24V MPFI SOHC,19063,1,1
140,2015 Jeep Wrangler Sport,24059,88553, Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC,37701,0,1
141,2019 Lexus ES 350 ,39998,12440, Front-wheel Drive ,22,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,37421,3,3
142,2010 Mercedes-Benz E-Class E 350,14500,81960, Rear-wheel Drive ,18–26,Gasoline ,7-Speed Automatic,3.5L V6 24V MPFI DOHC,60610,0,1
143,2021 Toyota 4Runner SR5,38998,21822, Rear-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,90621,1,0
144,2017 Buick Regal Turbo Sport Touring,14995,35000, Front-wheel Drive ,21–29,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,48180,3,3
145,2019 Nissan Pathfinder SV,29306,32878, Four-wheel Drive ,19–26,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC,44320,0,0
146,2014 Lexus GS 350 Base,27890,67597, Rear-wheel Drive ,19–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,75080,0,1
147,2019 Honda CR-V EX,28999,43014, All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19425,1,1
148,2015 Chevrolet Corvette Stingray Z51,53495,31927, Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,92024,0,1
149,2022 Honda Pilot EX-L,42974,10336, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,54904,1,1
150,2021 Chevrolet Silverado 1500 RST,56480,12401, Four-wheel Drive ,19–22,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV,21701,0,0
151,2020 Hyundai Veloster N N,28542,40308, Front-wheel Drive ,22–29,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,32808,1,1
152,2020 Jeep Grand Cherokee Limited,45995,19051, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,64081,3,3
153,2018 BMW 340 i xDrive,28736,57004, All-wheel Drive ,21–31,Gasoline ,sport automatic,Straight 6 Cylinder Engine,11023,1,1
154,2020 Acura MDX 3.5L,42995,25791, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,37027,3,3
155,2014 Maserati Ghibli S Q4,28995,36865, All-wheel Drive ,15–25,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,08638,0,1
156,2019 Mercedes-Benz A-Class A 220,31290,38771, Front-wheel Drive ,24–35,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,30069,1,0
157,2017 Dodge Challenger SXT,26900,47174, Rear-wheel Drive ,19–30,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,19335,1,1
158,2021 Toyota Supra 3.0,57999,13036, Rear-wheel Drive ,22–30,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,33411,1,1
159,2016 Ford Explorer XLT,19989,114037, Four-wheel Drive ,16–23,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,60532,0,1
160,2020 Volvo XC90 T6 Inscription 6 Passenger,53500,23933, All-wheel Drive ,18–26,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC,11542,1,1
161,2013 Porsche Boxster Base,35495,67393, Rear-wheel Drive ,20–30,Gasoline ,7-Speed Automatic with Auto-Shift,2.7L H6 24V GDI DOHC,30076,0,1
162,2018 Ford F-150 XLT,35481,69958, Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,80033,1,1
163,2012 INFINITI G37x Base,16990,99045, All-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,3.7L V6 24V MPFI DOHC,0,3,3
164,2019 Toyota Tacoma TRD Pro,49386,9436, Four-wheel Drive ,18–22,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,80223,1,1
165,2019 Volvo XC90 T6 R-Design,53975,9848, All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC,02360,1,0
166,2013 Lexus GX 460 Premium,23990,93156, Four-wheel Drive ,15–20,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,91504,0,0
