,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
13,13,2013 Lexus GS 350 Base,16990,48605, Gray , Black , Rear-wheel Drive ,19–28,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC
14,14,2020 Subaru Outback Premium,33895,12716, Ice Silver Metallic , Gray , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
15,15,2021 GMC Yukon Denali,89888,14599, Smokey Quartz Metallic , Dark Walnut/Very Dark Ash Gray , Four-wheel Drive ,14–19,Gasoline ,10-SPEED A/T,8 Cylinder Engine
16,16,2021 Mitsubishi Mirage ES,15185,23028, Starlight Silver Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
17,17,2021 Subaru Forester Premium,35694,13922, Magnetite Gray Metallic , Black , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
18,18,2018 BMW 320 320i xDrive,22950,31948, Black Sapphire Metallic , Black , All-wheel Drive ,23–34,Gasoline ,Automatic,Engine: 2.0L TwinPower Turbo 4-Cylinder 16V DOHC
19,19,2019 Jeep Cherokee Latitude Plus,24591,31610, Bright White Clearcoat , Black , Four-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
20,0,2021 Land Rover Defender 90 X,91500,14844, Carpathian Grey , Ebony , Four-wheel Drive ,17–22,Gasoline ,Automatic,V6
21,1,2016 Volvo XC90 T6 Momentum,24500,132000, Gray , Beige , All-wheel Drive ,20–25,Gasoline Fuel ,8-Speed A/T,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel
22,2,2020 Ford Edge SEL,33952,32613, Agate Black , Ebony , All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
23,3,2021 Toyota Highlander Platinum,53598,11937, White , Brown , All-wheel Drive ,20–27,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211
24,4,2018 Hyundai Elantra GT Sport,23990,18503, Scarlet Red Pearl , Black , Front-wheel Drive ,26–32,Gasoline ,7-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC Turbo
25,5,2021 Toyota Land Cruiser Base,103995,11130, White , Brown , Four-wheel Drive ,13–17,Gasoline Fuel ,8-Speed A/T,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel
26,6,2015 Chevrolet Corvette Stingray Z51,52000,53561, Velocity Yellow Tinted Clearcoat , Black , Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV
27,7,2020 Honda HR-V LX,28000,13232, White , Black , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
28,8,2019 Subaru Outback 3.6R Touring,32900,19181, Crystal White Pearl , Java Brown , All-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.6L H6 24V MPFI DOHC
29,9,2019 Subaru Crosstrek 2.0i Limited,25500,35894, Dark Gray Metallic , Gray , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC
30,10,2020 Tesla Model X Performance,102000,26000, Gray , Beige , All-wheel Drive ,80–77,Electric Fuel System ,A/T,Electric Motor Electric Fuel System
31,11,2019 Mercedes-Benz GLS 450 Base 4MATIC,54406,23394, Gray , Black , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
32,12,2022 Kia Telluride SX,54500,10100, Gray , Beige , All-wheel Drive ,19–24,Gasoline Fuel ,8-Speed A/T,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel
33,13,2020 Honda Civic Sport,24945,44144, Crystal Black Pearl , Black , Front-wheel Drive ,29–37,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
34,14,2013 BMW M6 Base,36891,57898, White , Red , Rear-wheel Drive ,14–20,Gasoline Fuel ,7-Speed A/T,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel
35,15,2009 Maserati GranTurismo S,32900,33896, Black , Red , Rear-wheel Drive ,None,Gasoline ,6-Speed Automatic with Overdrive,4.7L V8 32V MPFI DOHC
36,16,2017 Audi Q5 2.0T Premium Plus,27995,50968, Glacier White Metallic , Black , All-wheel Drive ,20–27,E85 Flex Fuel ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
37,17,2020 Kia Telluride EX,46801,3093, Gravity Gray , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
38,18,2017 Audi Q5 2.0T Premium Plus,32900,27561, Mythos Black Metallic , Black , All-wheel Drive ,20–27,E85 Flex Fuel ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
39,19,2012 Mercedes-Benz E-Class E 350,16495,49605, – , – , Rear-wheel Drive ,20–30,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
40,0,2017 BMW X3 xDrive28i,22500,79000, Black , White , All-wheel Drive ,21–28,Gasoline Fuel ,8-Speed A/T,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel
41,1,2016 Toyota 4Runner SR5 Premium,32999,88842, Magnetic Gray Metallic , Black / Graphite , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
42,2,2017 Audi Q5 2.0T Premium Plus,23000,98244, Ibis White , Black , All-wheel Drive ,20–27,E85 Flex Fuel ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
43,3,2014 Mercedes-Benz CLS-Class CLS 550 4MATIC,24735,67453, White , Black , All-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
44,4,2017 Audi Q5 2.0T Premium Plus,27995,68084, Moonlight Blue Metallic , Chestnut Brown , All-wheel Drive ,20–27,E85 Flex Fuel ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
45,5,2015 Toyota 4Runner Limited,29817,122983, Attitude Black Metallic , Black , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
46,6,2019 BMW 540 i xDrive,49400,10609, Alpine White , Ivory White , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
47,7,2019 Subaru Impreza 2.0i Premium,4450,67792, Ice Silver Metallic , Black , All-wheel Drive ,28–36,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC
48,8,2020 Honda HR-V LX,19999,57018, Gray , Gray , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
49,9,2017 Kia Sorento LX,21006,61582, Ebony Black , Satin Black , All-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC
50,10,2019 Subaru Crosstrek 2.0i Limited,24500,46550, Venetian Red Pearl , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC
51,11,2017 BMW M3 Base,53789,19847, Gray , Sakhir Orange , Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo
52,12,2019 Toyota Avalon Limited,41500,9806, Black , Brown , Front-wheel Drive ,22–31,Gasoline Fuel ,A/T,301.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
53,13,2021 Toyota Land Cruiser Heritage Edition,97900,11194, Black , – , Four-wheel Drive ,13–17,Gasoline ,8-Speed Automatic,5.7L V8 32V MPFI DOHC
54,14,2021 Bentley Continental GT V8,268285,3794, Glacier White , Hotspur , All-wheel Drive ,16–26,Gasoline ,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
55,15,2017 Nissan Rogue SV,24688,48980, Brilliant Silver , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
56,16,2020 Subaru Outback Premium,31517,24068, Magnetite Gray Metallic , Black , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
57,17,2020 Lexus ES 350 Base,40745,39928, Obsidian Black , Chateau , Front-wheel Drive ,22–32,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
58,18,2019 Toyota Highlander LE,28995,65285, Predawn Gray Mica , Black , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
59,19,2020 Subaru Outback Premium,32450,39780, Ice Silver Metallic , Gray , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
60,0,2019 Jeep Cherokee Latitude Plus,26491,26132, Diamond Black , Black , Four-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC
61,1,2014 Buick Enclave Premium,20000,87800, White , Brown , All-wheel Drive ,16–22,Gasoline Fuel ,A/T,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel
62,2,2020 Jeep Grand Cherokee Overland,41998,46664, Ivory , Sepia / Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
63,3,2020 Ford Mustang EcoBoost Premium,30223,45111, Race Red , Ebony , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
64,4,2020 Jaguar F-PACE S,47427,42594, Narvik Black , Ebony / Ebony , All-wheel Drive ,18–23,Gasoline ,Automatic,V6
65,5,2018 BMW 320 320i xDrive,24960,10462, Mineral White Metallic , Black , All-wheel Drive ,23–34,Gasoline ,Automatic,Engine: 2.0L TwinPower Turbo 4-Cylinder 16V DOHC
66,6,2020 RAM 1500 Laramie,53998,31042, Gray , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
67,7,2018 Mazda CX-5 Grand Touring,25488,66601, Jet Black Mica , Black , Front-wheel Drive ,25–31,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
68,8,2012 Ford Escape XLT,7200,1463, Green , Black , Front-wheel Drive ,21–28,Flex Fuel Capability ,A/T,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability
69,9,2016 Toyota Sienna Limited Premium,38000,20054, White , Brown , Front-wheel Drive ,18–25,Gasoline Fuel ,A/T,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
70,10,2022 Genesis GV70 2.5T,52900,11523, Vik Black , Black , All-wheel Drive ,22–28,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.5 L/152
71,11,2020 Chevrolet Tahoe LT,43900,65216, Silver Ice Metallic , Black , Four-wheel Drive ,15–21,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
72,12,2021 Honda Pilot Special Edition,43991,14067, Crystal Black Pearl , – , All-wheel Drive ,19–26,Gasoline ,9 speed automatic,V6 Cylinder Engine
73,13,2020 Lexus RX 350 Base,49998,17610, Caviar , Parchment , Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
74,14,2021 Toyota 4Runner Nightshade,54320,16300, Blizzard Pearl , Black / Graphite , Four-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
75,15,2021 Toyota RAV4 Hybrid XLE Premium,41459,33740, Lunar Rock , – , All-wheel Drive ,41–38,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid
76,16,2021 Porsche Panamera Turbo S,189900,2923, Jet Black Metallic , – , All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
77,17,2019 Honda CR-V EX-L,33497,2482, Orange , Beige , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
78,18,2021 Nissan Titan PRO-4X,52800,27904, Gun Metallic , Black , Four-wheel Drive ,15–20,Gasoline ,9-Speed Automatic,5.6L V8 32V GDI DOHC
79,19,2019 Ford Expedition Max Platinum,62998,35661, Black , Ebony , Four-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
80,0,2012 Ford Expedition EL King Ranch,15999,148738, Black , Charcoal Black w/King Ranch Red , Four-wheel Drive ,13–0,Gasoline ,6-Speed Automatic,8 Cylinder Engine
81,1,2019 Mercedes-Benz GLS 450 Base 4MATIC,59900,31714, Obsidian Black Metallic , Porcelain / Black , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
82,2,2021 Aston Martin DBX Base,169995,10732, Xenon Gray , Black Damson , All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
83,3,2020 Jaguar F-PACE S,47077,47558, Narvik Black , Ebony / Ebony , All-wheel Drive ,18–23,Gasoline ,Automatic,V6
84,4,2016 Ford F-150 Lariat,30994,53970, White Platinum Tri-Coat Metallic , Black , Rear-wheel Drive ,None,E85 Flex Fuel ,6-Speed Automatic,5.0L V8 Flexible Fuel
85,5,2018 Jeep Wrangler Unlimited Sport,32905,55950, Bright White Clearcoat , Black , Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
86,6,2018 BMW X2 sDrive28i,32000,24029, Black Sapphire Metallic , Oyster / Black , Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
87,7,2016 Ford Explorer Sport,29000,51120, Black , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
88,8,2019 Honda CR-V EX-L,33790,21289, Basque Red Pearl II , Gray , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
89,9,2020 Cadillac XT4 Premium Luxury,35998,59523, Radiant Silver Metallic , Light Platinum/Jet Black , All-wheel Drive ,22–29,Gasoline ,Automatic,4 Cylinder Engine
90,10,2020 Mercedes-Benz S-Class S 560,85188,19805, designo Diamond White , Black , Rear-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
91,11,2021 BMW X5 xDrive40i,62600,14486, Arctic Gray Metallic , Black , All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
92,12,2019 Toyota Highlander XLE,37127,13489, Celestial Silver Metallic , Ash , All-wheel Drive ,20–26,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211
93,13,2015 Audi S4 3.0T Premium Plus,25999,62600, Black , Black / Red , All-wheel Drive ,17–26,Gasoline ,6-Speed Manual,3.0L V6 24V GDI DOHC Supercharged
94,14,2017 Honda Pilot Elite,31795,85005, Crystal Black Pearl , Black , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
95,15,2021 Aston Martin DBX Base,173996,3240, Black , Orange , All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
96,16,2020 Toyota Corolla LE,23499,24192, Classic Silver Metallic , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
97,17,2017 Toyota Tundra Platinum,40900,80262, Black , – , Four-wheel Drive ,13–17,E85 Flex Fuel ,6-Speed Automatic,5.7L V8 32V MPFI DOHC Flexible Fuel
98,18,2015 BMW X5 M Base,45950,70029, White , Mugello Red , All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
99,19,2019 BMW X3 sDrive30i,29998,61117, Alpine White , Canberra Beige , Rear-wheel Drive ,23–30,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
100,0,2021 Ford Bronco Sport Big Bend,34996,14640, Iconic Silver Metallic , Ebony , Four-wheel Drive ,25–28,Gasoline ,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo
101,1,2021 Tesla Model Y Long Range,68995,11852, SELECT , White / Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
102,2,2021 Lexus RX 350 Base,51933,14027, Caviar , Black , Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
103,3,2018 Chevrolet Trax LT,12995,32669, Red , Black , Front-wheel Drive ,25–33,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo
104,4,2008 Mercedes-Benz E-Class E 350 4MATIC,11599,70200, Blue , Beige , All-wheel Drive ,16–22,Gasoline Fuel ,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
105,5,2014 Audi A7 3.0T Prestige quattro,26972,78326, Phantom Black Pearl , – , All-wheel Drive ,18–28,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged
106,6,2019 Jeep Grand Cherokee Limited,42590,21615, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
107,7,2021 Lexus LC 500 Base,105000,9700, Liquid Platinum , Red , Rear-wheel Drive ,15–25,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
108,8,2021 RAM 1500 Laramie,58980,11400, Maximum Steel , – , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
109,9,2020 Jeep Grand Cherokee Limited,34750,28515, Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
110,10,2017 RAM 1500 Laramie,39994,23173, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
111,11,2017 Cadillac XT5 Luxury,28250,49460, Radiant Silver Metallic , Jet Black , Front-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
112,12,2021 Chevrolet Traverse Premier,55995,11699, Black , Jet Black , All-wheel Drive ,17–25,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
113,13,2021 Porsche Macan S,72952,5651, Carmine Red , – , All-wheel Drive ,18–24,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
114,14,2017 Subaru Forester 2.5i Premium,22998,75422, Jasmine Green Metallic , Gray , All-wheel Drive ,26–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
115,15,2020 Buick Enclave Essence,36500,29500, Satin Steel Metallic , Dark Galvanized , Front-wheel Drive ,18–26,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
116,16,2019 Mercedes-Benz GLS 450 Base 4MATIC,59046,29800, Polar White , Espresso Brown , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
117,17,2020 Kia Telluride SX,52037,30326, Snow White Pearl , Brown , Front-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
118,18,2020 Honda Civic Sport,26789,31076, Black , Black , Front-wheel Drive ,29–37,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
119,19,2021 GMC Acadia SLE,34990,21081, Satin Steel Metallic , Jet Black , Front-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
120,0,2006 Ford Expedition Limited,7260,95879, Silver , – , Four-wheel Drive ,14–17,Gasoline ,4-Speed Automatic,5.4L V8 24V MPFI SOHC
121,1,2019 BMW X3 sDrive30i,32962,53019, Brown Metallic , Canberra Beige , Rear-wheel Drive ,23–30,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
122,2,2019 Toyota 4Runner Limited,48759,14050, Blizzard Pearl , Redwood , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
123,3,2019 BMW X5 xDrive40i,54488,36864, Alpine White , Canberra Beige , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
124,4,2019 Mercedes-Benz GLC 300 Base 4MATIC,34885,18337, Polar White , – , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
125,5,2019 Toyota 4Runner Limited,36893,81710, Magnetic Gray Metallic , Black Graphite , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
126,6,2021 Tesla Model Y Performance,73998,11274, Gray , Black , All-wheel Drive ,115–106,Electric ,1-Speed Automatic,Electric
127,7,2018 Ford F-150 XLT,40329,24800, Shadow Black , Medium Earth Gray , Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
128,8,2020 Cadillac XT5 Sport,58829,16531, Stellar Black Metallic , Black , All-wheel Drive ,18–25,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
129,9,2019 Toyota RAV4 LE,31471,20254, Midnight Black Metallic , Black , Front-wheel Drive ,26–35,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
130,10,2020 Ford F-150 Lariat,49980,22648, Black , Black , Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo
131,11,2017 Subaru Forester 2.5i Premium,22390,65350, Crystal White Pearl , Gray , All-wheel Drive ,26–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
132,12,2020 Honda HR-V LX,25499,35308, Black , Gray , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
133,13,2006 Toyota Avalon Limited,8999,69107, Maroon , Beige , Front-wheel Drive ,22–31,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI DOHC
134,14,2006 Maserati Quattroporte Executive GT,18777,22665, Gray , Avorio , Rear-wheel Drive ,12–15,Gasoline ,6-Speed Automatic with Auto-Shift,4.2L V8 32V MPFI DOHC
135,15,2019 Jeep Cherokee Latitude Plus,25990,35517, Bright White Clearcoat , Black , Four-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC
136,16,2017 Cadillac XT5 Luxury,27901,58614, Stellar Black Metallic , Jet Black , Front-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
137,17,2019 Jeep Cherokee Latitude Plus,25599,42510, Diamond Black , Black , Four-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC
138,18,2020 Lexus RX 350 Base,42990,16322, Champagne , – , Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
139,0,2020 Mercedes-Benz CLA 250 Base,38995,13588, Polar White , – , Front-wheel Drive ,25–35,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
140,1,2016 Porsche Panamera Edition,56800,10350, Silver , Black , Rear-wheel Drive ,18–28,Gasoline Fuel ,Transmission w/Dual Shift Mode,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel
141,2,2020 Acura TLX Technology,32198,28353, Platinum White Pearl , Ebony , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
142,3,2020 Acura TLX FWD,23999,58318, Gray , Ebony , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
143,4,2019 Toyota Highlander XLE,36998,43479, Silver , Gray , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
144,5,2021 Mercedes-Benz S-Class S 580 4MATIC,119997,5259, Black , Black , All-wheel Drive ,None,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
145,6,2019 Jeep Cherokee Limited,27586,49892, Granite Crystal Clearcoat Metallic , Ski Gray , Four-wheel Drive ,19–27,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC
146,7,2019 Jeep Cherokee Latitude Plus,24130,33883, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
147,8,2021 Tesla Model Y Long Range,72982,12337, Pearl White Multi , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
148,9,2017 Hyundai Elantra SE,12995,38588, Galactic Gray , Gray , Front-wheel Drive ,29–38,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC
149,10,2018 BMW 330 i xDrive,20939,46681, Black , Black , All-wheel Drive ,23–33,Gasoline ,sport automatic,4 Cylinder Engine
150,11,2020 Chevrolet Tahoe LT,41000,59037, Summit White , Black , Four-wheel Drive ,15–21,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
151,12,2021 Hyundai Elantra Limited,29000,13655, Quartz White , Medium Gray , Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
152,13,2021 GMC Yukon Denali,75900,46488, White Frost Tri-Coat , Jet Black , Four-wheel Drive ,14–19,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
153,14,2019 Toyota Sequoia Platinum,58995,30990, Midnight Black Metallic , – , Rear-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC
